search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-description 2,read-more,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location,item-location src,score-text--na
https://www.tasteatlas.com/burger,https://cdn.tasteatlas.com//Images/Dishes/223d2928b1e04701854f387c30d940f0.jpg?mw=660,1,Burger,https://www.tasteatlas.com/burgers,Burger,4.3,Best in   (Brooklyn),Emily,https://www.tasteatlas.com/Emily,"A quintessential American food, burger evolved from the German , according to the  food critic Mimi Sheraton. Its other name () is a result of the fact that many German immigrant...",Deutsches beefsteak,READ MORE,https://www.tasteatlas.com/burger/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/burger-buns,https://cdn.tasteatlas.com/images/ingredientgroups/ebaad11172ee4fae9c47fae670443b11.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/ketchup,https://cdn.tasteatlas.com/images/dishes/64adc6ca5bbd48e283fb1a4515c749f0.png?h=120&w=120,https://www.tasteatlas.com/Mustard,https://cdn.tasteatlas.com/images/ingredientgroups/36f67695affa43ec9a0397a775614c85.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,,,,
https://www.tasteatlas.com/cupcake,https://cdn.tasteatlas.com//Images/Dishes/3021765eda914b4cb253e72f5565a101.jpg?mw=660,2,Dessert,https://www.tasteatlas.com/Desserts,Cupcake,3.4,Best in   (Chicago),Molly's Cupcakes,https://www.tasteatlas.com/MollysCupcakes,"A cupcake is a tiny cake that is baked in a thin paper mold or an aluminum cup. One cupcake should typically serve one person. The first mention of a cupcake can be traced back to a 1796 cookbook called , written by Amelia...",American Cookery,READ MORE,https://www.tasteatlas.com/cupcake/wheretoeat,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/baking-soda,https://cdn.tasteatlas.com/images/ingredientgroups/eed7d6a3369340d6a1c6218e16f6cbe4.png?h=120&w=120,,,,
https://www.tasteatlas.com/brownies,https://cdn.tasteatlas.com//Images/Dishes/d2d057282be34eb28f6b1696e072d783.jpg?mw=660,3,Chocolate Dessert,https://www.tasteatlas.com/chocolate-desserts,Brownies,4.3,Best in   (Brooklyn),Baked,https://www.tasteatlas.com/Baked,"Deliciously chewy, dense and fudgy with a rich chocolate flavor, the beloved brownies are one of the most popular American desserts. Some claim that Bertha Palmer, wife of the owner of , asked the chef to invent a new ch...",Palmer House Hotel,READ MORE,https://www.tasteatlas.com/brownies/wheretoeat,https://www.tasteatlas.com/Chocolate,https://cdn.tasteatlas.com/images/ingredientgroups/55f79b1267184622bb38fc2e41b2203e.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/vanilla,https://cdn.tasteatlas.com/images/ingredientgroups/a7458d391eba4850862e5fcd789c4bad.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/cocoa-beans,https://cdn.tasteatlas.com/images/ingredientgroups/77b5bbf2dfcc42e0b1af9cccb884bd48.png?h=120&w=120,,,,
https://www.tasteatlas.com/cheeseburger,https://cdn.tasteatlas.com//images/dishes/df459d9fe5ad400e8bf69e4f25d9cf12.jpg?mw=660,4,Burger,https://www.tasteatlas.com/burgers,Cheeseburger,4.2,Best in   (Brooklyn),Emily,https://www.tasteatlas.com/Emily,"Cheeseburger is a natural evolution of the beloved hamburger, the only difference between the two being that the cheeseburger has a slice of cheese added on top of the meat patty. Although American cheese was the original choice, Swiss, Cheddar, a...",,READ MORE,https://www.tasteatlas.com/cheeseburger/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Cheese,https://cdn.tasteatlas.com/images/ingredientgroups/764215a242064199930b80927dfbc2f0.png?h=120&w=120,https://www.tasteatlas.com/burger-buns,https://cdn.tasteatlas.com/images/ingredientgroups/ebaad11172ee4fae9c47fae670443b11.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/pickled-cucumbers,https://cdn.tasteatlas.com/images/ingredientgroups/56d0a8dfb98446e3a2ab9baeaf87e5e8.png?h=120&w=120,https://www.tasteatlas.com/Lettuce,https://cdn.tasteatlas.com/images/ingredientgroups/7e0f57e1acdf4336ae728bbaf80a1f36.png?h=120&w=120,https://www.tasteatlas.com/pasadena-california,Pasadena,,
https://www.tasteatlas.com/bbq,https://cdn.tasteatlas.com//images/dishes/912c358d19fd418cb7f0ff15c1e6d8f1.jpg?mw=660,5,Barbecue,https://www.tasteatlas.com/barbecue,Barbecue,4.3,Best in   (Memphis),Central BBQ,https://www.tasteatlas.com/CentralBbq,"Modern American barbecue stems directly from , the tradition of smoke-cooking meat which Caribbean natives were doing long before the colonists arrived. Today, the centuries-old technique of smoking whole hogs over a pit is now co...",barbacoa,READ MORE,https://www.tasteatlas.com/bbq/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/southern-united-states,Southern United States,,
https://www.tasteatlas.com/milkshake,https://cdn.tasteatlas.com//images/dishes/5291b5f2fcee42849cd84a03bff55e0a.jpg?mw=660,6,Frozen Dessert,https://www.tasteatlas.com/frozen-desserts,Milkshake,4.1,Best in   (Evanston),Edzo’s Burger Shop,https://www.tasteatlas.com/EdzosBurgerShop,"Milkshakes are usually described as flavored milk and ice cream beverages, usually lavishly decorated and served cold. The first written mention, dating from 1885, was somewhat different, and the word was used to refer to a whiskey drink, similar ...",,READ MORE,https://www.tasteatlas.com/milkshake/wheretoeat,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/ice-creams,https://cdn.tasteatlas.com/images/dishgroups/f928c71dc19349c88160687d252cdb15.png?h=120&w=120,https://www.tasteatlas.com/syrups,https://cdn.tasteatlas.com/images/ingredientgroups/40f265e2dee942afa8c16b86466c0ea2.png?h=120&w=120,,,,,,,,,,
https://www.tasteatlas.com/doughnut,https://cdn.tasteatlas.com//Images/Dishes/e64c8b5fab4b436f8297e4b8962f1900.jpg?mw=660,7,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Doughnut,4.0,Best in   (New Orleans),District Donuts Sliders Brew,https://www.tasteatlas.com/DistrictDonutsSlidersBrew,"Although archaeologists had found some petrified remains of fried cakes with holes in the center, it is still unclear how could the early Native Americans prepare these delicious fried dough desserts that we know today as doughnuts. In the past, d...",,READ MORE,https://www.tasteatlas.com/doughnut/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,,,,,,
https://www.tasteatlas.com/fudge,https://cdn.tasteatlas.com//Images/Dishes/a80d58e4be1647aa944959fbe888bd2f.jpg?mw=660,8,Dessert,https://www.tasteatlas.com/Desserts,Fudge,3.6,Best in   (Mackinac Island),JoAnn’s Fudge,https://www.tasteatlas.com/JoannsFudge,"Fudge is a creamy American confectionery made with milk, sugar, butter, and various toppings and flavorings. It is created by boiling milk, butter, and sugar to a degree of 240 °F/116 °C, and then beating it while it cools down, creating c...",,READ MORE,https://www.tasteatlas.com/fudge/wheretoeat,https://www.tasteatlas.com/Chocolate,https://cdn.tasteatlas.com/images/ingredientgroups/55f79b1267184622bb38fc2e41b2203e.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/vanilla,https://cdn.tasteatlas.com/images/ingredientgroups/a7458d391eba4850862e5fcd789c4bad.png?h=120&w=120,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,,,https://www.tasteatlas.com/baltimore,Baltimore,https://cdn.tasteatlas.com/images/emblems/85caf6429642405695996d94d8327aea.png,
https://www.tasteatlas.com/mac-and-cheese,https://cdn.tasteatlas.com//Images/Dishes/43b9fc3a33314d2cb2d25bd73bb5a046.jpg?mw=660,9,Pasta,https://www.tasteatlas.com/pasta,Mac and Cheese,3.5,Best in   (Cincinnati),The Eagle OTR,https://www.tasteatlas.com/TheEagleOTR,"One of the most popular dishes in the United States known as mac and cheese combines tender, yet firm pasta and melted cheese. The preferred American combination includes curved macaroni pasta and Cheddar cheese, but modern varieties include vario...",,READ MORE,https://www.tasteatlas.com/mac-and-cheese/wheretoeat,https://www.tasteatlas.com/macaroni,https://cdn.tasteatlas.com/images/dishes/2b099b9dd3d44d72a94fdb895b55b396.png?h=120&w=120,https://www.tasteatlas.com/breadcrumbs,https://cdn.tasteatlas.com/images/ingredientgroups/0981718c8c2d433cbbb82801849680f3.png?h=120&w=120,https://www.tasteatlas.com/mornay-sauce,https://cdn.tasteatlas.com/images/dishes/bca86db6aa194b77a02d466a508bd213.png?h=120&w=120,,,,,,,https://www.tasteatlas.com/virginia,Virginia,https://cdn.tasteatlas.com/images/emblems/945b5174fad049578dbb4bbc780eeaca.png,
https://www.tasteatlas.com/fried-chicken,https://cdn.tasteatlas.com//Images/Dishes/a8f794cc11bb4b969b7d5ec54714010e.jpg?mw=660,10,Fried Chicken Dish,https://www.tasteatlas.com/fried-chicken-dishes,Fried Chicken,4.1,Best in   (Nashville),Prince's Hot Chicken,https://www.tasteatlas.com/PrincesHotChicken,"The most popular food of the Southern cuisine, fried chicken is the theme of many arguments where everyone involved seems to have a favorite, be it what their mothers used to make, a cult roadside eatery, or a bygone restaurant. However, it is uni...",,READ MORE,https://www.tasteatlas.com/fried-chicken/wheretoeat,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/buttermilk,https://cdn.tasteatlas.com/images/ingredientgroups/75eead62c30d4b77a39288a7fd3ba05b.png?h=120&w=120,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Lard,https://cdn.tasteatlas.com/images/ingredientgroups/f2ee3afb68a34c859faafc3db9a05b76.png?h=120&w=120,https://www.tasteatlas.com/vegetable-oils,https://cdn.tasteatlas.com/images/ingredientgroups/9645da0c09ec4cebb19ef9a91a4e3ecf.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/southern-united-states,Southern United States,,
