search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,search-results__item-description,search-results__item-description 2,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3
https://www.tasteatlas.com/chivito,https://cdn.tasteatlas.com//Images/Dishes/dbec6eed812c43ed9a990e70f6b1486c.jpg?mw=660,1,Sandwich,https://www.tasteatlas.com/sandwiches,Chivito,4.4,"Chivito is a delicious sandwich from Uruguay and the country's national dish. Meaning  in Spanish, a legend says that in the 1940s, a chef in a restaurant was asked to prepare roasted goat, but since he didn't have one - he mad...",little goat,https://www.tasteatlas.com/chivito/wheretoeat,https://www.tasteatlas.com/Breads,https://cdn.tasteatlas.com/images/dishgroups/1cf6c4cfb4354189b4bc5bb6a46ad000.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/mozzarella,https://cdn.tasteatlas.com/images/dishes/0f49880c948545228967a4db32b39d41.png?h=120&w=120
https://www.tasteatlas.com/asado-uruguay,https://cdn.tasteatlas.com//Images/Dishes/bc210d52370b456092dde323280efbb7.jpg?mw=660,2,Barbecue,https://www.tasteatlas.com/barbecue,Asado,4.8,"Considered an epitome of Argentinean gastronomy and culture, asado (lit. roast; roasted) is much more than merely a meal. In Argentina, Chile, Uruguay, Paraguay, and in a number of other South American countries, it is both a culinary and social e...",,https://www.tasteatlas.com/asado-uruguay/wheretoeat,,,,,,
https://www.tasteatlas.com/pancho,https://cdn.tasteatlas.com//images/dishes/3f8047bda94a423081eb0e63970dd22c.jpg?mw=660,3,Hot Dog,https://www.tasteatlas.com/hot-dogs,Pancho,4.0,"Pancho is an Uruguayan hot dog made with a sausage in a  bun. The sausage often sticks out from the bun as it is usually longer than pan de Viena. Experts say that the pancho is all about the toppings, which vary depending on ...",pan de Viena,https://www.tasteatlas.com/pancho/wheretoeat,,,,,,
https://www.tasteatlas.com/dulce-de-leche-uruguay,https://cdn.tasteatlas.com//images/dishes/a0ac6ed92e66498a9788696ff1599c30.jpg?mw=660,4,Dessert,https://www.tasteatlas.com/Desserts,Dulce de leche,4.5,"Dulce de leche is a type of condensed milk sweet from Argentina. Traditionally, it is made by heating sweetened cow's milk until it caramelizes and achieves a thick consistency, enough to act as a spread, a filling for cakes and pies, or an ice cr...",,https://www.tasteatlas.com/dulce-de-leche-uruguay/wheretoeat,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/vanilla,https://cdn.tasteatlas.com/images/ingredientgroups/a7458d391eba4850862e5fcd789c4bad.png?h=120&w=120
https://www.tasteatlas.com/garrapinada,https://cdn.tasteatlas.com//images/dishes/f4686915862d4683b284887bf9043fae.jpg?mw=660,5,Street Food Sweets,https://www.tasteatlas.com/street-food-sweets,Garrapiñada,4.4,"Garrapiñada is an Uruguayan street food item consisting of peanuts roasted in a combination of sugar, water, and vanilla essence. When the peanuts are completely coated and the syrup hardens, they are ready to eat. This treat can be found o...",,https://www.tasteatlas.com/garrapinada/wheretoeat,,,,,,
https://www.tasteatlas.com/martin-fierro,https://cdn.tasteatlas.com//Images/Dishes/d833a7b7331e4e9b93a1dec27ae45eef.jpg?mw=660,6,Cheese Dessert,https://www.tasteatlas.com/cheese-desserts,Martín Fierro,4.0,"The unique combination of cheese (ideally, salty and firm  cheese) and a slice of flavorful quince paste known as  makes the Uruguayan treat known as Martín Fierro. The dish got its name from a ch...",manchego,https://www.tasteatlas.com/martin-fierro/wheretoeat,,,,,,
https://www.tasteatlas.com/tortas-fritas-uruguay,https://cdn.tasteatlas.com//images/dishes/b0ba725af07e4488b174620773a5ae18.jpg?mw=660,7,Snack,https://www.tasteatlas.com/Snacks,Tortas fritas,4.3,"Tortas fritas are fried biscuits from Argentina consisting of flour, butter, lard, milk, and baking powder. The dish is traditionally consumed with a cup of yerba mate, usually on rainy afternoons during autumn and winter. It is customarily served...",,https://www.tasteatlas.com/tortas-fritas-uruguay/wheretoeat,,,,,,
https://www.tasteatlas.com/choripan-uruguay,https://cdn.tasteatlas.com//Images/Dishes/19ca5c1cba384f128b06dc2de20cd935.jpg?mw=660,8,Sandwich,https://www.tasteatlas.com/sandwiches,Choripán,4.4,"Choripán is the ultimate in Argentine street food, a sandwich consisting of a  sausage and a variety of condiments in a crusty bun. It is usually consumed on the go, since it is mostly sold at street stands throughout Latin ...",chorizo,https://www.tasteatlas.com/choripan-uruguay/wheretoeat,,,,,,
https://www.tasteatlas.com/chaja,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-4.jpg,9,Cake,https://www.tasteatlas.com/cakes,Chajá,4.3,"Chajá is an Uruguayan cake consisting of layers of sponge cake, whipped cream, meringue, and peaches, while a layer of dulce de leche on top is often seen, but not mandatory. The cake was invented in the 1920s by Orlando Castellano at the <...",,https://www.tasteatlas.com/chaja/wheretoeat,,,,,,
https://www.tasteatlas.com/lengua-a-la-vinagreta,https://cdn.tasteatlas.com//images/dishes/6e450ad3fe154cadb64ed4a0608f2d7f.jpg?mw=660,10,Appetizer,https://www.tasteatlas.com/Appetizers,Lengua a la vinagreta,4.1,"Lengua a la vinagreta is a cold appetizer that is popular in Uruguay and Argentina. It consists of boiled ox or beef tongue that is sliced into thin pieces, then marinated in a combination of white wine vinegar, olive oil, garlic, and parsley, whi...",,https://www.tasteatlas.com/lengua-a-la-vinagreta/wheretoeat,https://www.tasteatlas.com/organ-meats,https://cdn.tasteatlas.com/images/ingredientgroups/108bd41467d64291a9f31591dda75d8a.png?h=120&w=120,https://www.tasteatlas.com/white-wine-vinegars,https://cdn.tasteatlas.com/images/ingredientgroups/5ec7d5e7a1c44fa9b25bcef37eeb02aa.png?h=120&w=120,https://www.tasteatlas.com/Olive-oil,https://cdn.tasteatlas.com/images/ingredientgroups/51f74167400e4342a76839cfdaa89693.png?h=120&w=120
https://www.tasteatlas.com/caruso-sauce,https://www.tasteatlas.com/content/layout/images/thumbnail-no-photo-2.jpg,11,Sauce,https://www.tasteatlas.com/Sauces,Caruso Sauce,4.5,"This Uruguayan sauce is typically served warm over pasta. It consists of cream, mushrooms, cheese, meat broth, and ham. It can be enriched by the addition of onions, garlic, and various fresh herbs. The earthy and comforting sauce was invented in ...",,https://www.tasteatlas.com/caruso-sauce/wheretoeat,,,,,,
