search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,score-text,similar-list__item-description,similar-list__item-description 2,similar-list__item-description href,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,search-results__item-description 2,item-location href,item-location,score-text--na
https://www.tasteatlas.com/arepa,https://cdn.tasteatlas.com//Images/Dishes/aaa50fed110a4cabbeffb4c52e5fa6cf.jpg?mw=660,1,Sandwich type,https://www.tasteatlas.com/sandwich-types,Arepa,4.2,Best in   (Caracas),El Budare,https://www.tasteatlas.com/ElBudare,"Arepa is a highly versatile cornbread made from ground corn dough or precooked corn flour. It is commonly consumed in Venezuela, Colombia, Panama, Puerto Rico, and the Dominican Republic. In Venezuela, arepa is eaten at any time of the day, throug...",https://www.tasteatlas.com/arepa/wheretoeat,https://www.tasteatlas.com/corn-flours,https://cdn.tasteatlas.com/images/ingredientgroups/aa0dbd7a5bac4bfa8e827a70993fe6f2.png?h=120&w=120,https://www.tasteatlas.com/Avocados,https://cdn.tasteatlas.com/images/ingredientgroups/1a2a8fc0806246a492a2b86d39d87834.png?h=120&w=120,https://www.tasteatlas.com/Beans,https://cdn.tasteatlas.com/images/ingredientgroups/beb3c7faee1444a98263bf3973fc3e5c.png?h=120&w=120,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Cheese,https://cdn.tasteatlas.com/images/ingredientgroups/764215a242064199930b80927dfbc2f0.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,,,,
https://www.tasteatlas.com/arequipe,https://cdn.tasteatlas.com//images/dishes/a0ac6ed92e66498a9788696ff1599c30.jpg?mw=660,2,Dessert,https://www.tasteatlas.com/Desserts,Arequipe,4.5,,,,"Dulce de leche is a type of condensed milk sweet from Argentina. Traditionally, it is made by heating sweetened cow's milk until it caramelizes and achieves a thick consistency, enough to act as a spread, a filling for cakes and pies, or an ice cr...",https://www.tasteatlas.com/arequipe/wheretoeat,https://www.tasteatlas.com/Milk,https://cdn.tasteatlas.com/images/ingredientgroups/32cfca5acc5c40ef8daecc359371a43e.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/vanilla,https://cdn.tasteatlas.com/images/ingredientgroups/a7458d391eba4850862e5fcd789c4bad.png?h=120&w=120,,,,,,,,,,
https://www.tasteatlas.com/sopa-de-mondongo,https://cdn.tasteatlas.com//Images/Dishes/24af0278a9f54465a23ed15e9e069f6e.jpg?mw=660,3,Offal Soup,https://www.tasteatlas.com/offal-soups,Sopa de mondongo,4.2,,,,"Sopa de mondongo is a term that is widely used all across Central and South America when referring to a hearty tripe and vegetable soup. The star of the dish is beef or pork tripe, the rather tough edible part of animal stomach which is cut into s...",https://www.tasteatlas.com/sopa-de-mondongo/wheretoeat,https://www.tasteatlas.com/organ-meats,https://cdn.tasteatlas.com/images/ingredientgroups/108bd41467d64291a9f31591dda75d8a.png?h=120&w=120,https://www.tasteatlas.com/Potatoes,https://cdn.tasteatlas.com/images/ingredientgroups/282779ae12bd41c8b1470862a313c360.png?h=120&w=120,https://www.tasteatlas.com/cassava,https://cdn.tasteatlas.com/images/dishes/7de3408e3fa643339babc0a97f863500.png?h=120&w=120,https://www.tasteatlas.com/Corn,https://cdn.tasteatlas.com/images/ingredientgroups/f1ea3ded990d44b2b6531802d58e7d38.png?h=120&w=120,https://www.tasteatlas.com/Cabbages,https://cdn.tasteatlas.com/images/ingredientgroups/037403c6717345dfba27bed2dc805b5d.png?h=120&w=120,https://www.tasteatlas.com/Plantains,https://cdn.tasteatlas.com/images/ingredientgroups/5bddeceb27324bafa35ead9958fce998.png?h=120&w=120,,,,
https://www.tasteatlas.com/pabellon-criollo,https://cdn.tasteatlas.com//images/dishes/469b767737d4417f8310da5a0409fcbd.jpg?mw=660,4,Beef Dish,https://www.tasteatlas.com/beef-dishes,Pabellón criollo,4.7,Best in   (Caracas),La Guayaba Verde,https://www.tasteatlas.com/la-guayaba-verde,"Pabellon criollo is a traditional Venezuelan dish consisting of black beans, white rice, and slices of steak cooked with tomatoes. The word  means , referring to the colors of individual components, which are arranged...",https://www.tasteatlas.com/pabellon-criollo/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/black-beans,https://cdn.tasteatlas.com/images/ingredientgroups/23e2317d37d54983bf78237cb224ee70.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/stocks,https://cdn.tasteatlas.com/images/ingredientgroups/27990ac3f60a4812ad3aadf8f044cdb6.png?h=120&w=120,pabellon,,,
https://www.tasteatlas.com/pan-de-jamon,https://cdn.tasteatlas.com//images/dishes/ccc7d81514424966b25cc81c26db0937.jpg?mw=660,5,Sweet Bread,https://www.tasteatlas.com/Sweet-breads,Pan de jamón,4.2,,,,"This Venezuelan bread is typically stuffed with raisins, ham, and olives. It is especially popular during the festive Christmas period. The dough is usually made with yeast, flour, butter, eggs, milk, sugar, and salt, resulting in a slightly sweet...",https://www.tasteatlas.com/pan-de-jamon/wheretoeat,,,,,,,,,,,,,,https://www.tasteatlas.com/caracas,Caracas,
https://www.tasteatlas.com/asado-negro,https://cdn.tasteatlas.com//Images/Dishes/60f74b2ed5164191bd894547ba2e17ac.jpg?mw=660,6,Beef Dish,https://www.tasteatlas.com/beef-dishes,Asado negro,4.2,Best in   (Caracas),Hajillo's,https://www.tasteatlas.com/Hajillos,"Asado negro is a Venezuelan dish prepared with the eye of round roast (). The meat is slowly braised for hours in rich red wine sauce until it attains its typical, almost black color. Although the exact recipe for the sauc...",https://www.tasteatlas.com/asado-negro/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Red-wine,https://cdn.tasteatlas.com/images/ingredientgroups/b0e181d5d7e04d8181ad334840bec250.png?h=120&w=120,https://www.tasteatlas.com/white-wine-vinegars,https://cdn.tasteatlas.com/images/ingredientgroups/5ec7d5e7a1c44fa9b25bcef37eeb02aa.png?h=120&w=120,https://www.tasteatlas.com/canola-oils,https://cdn.tasteatlas.com/images/ingredientgroups/2f44fc8e9ce447e58ac245fd6f0f2f61.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,muchacho redondo,,,
https://www.tasteatlas.com/hallaca,https://cdn.tasteatlas.com//Images/Dishes/30823fe90b7e43289c1f4dbbf0ff55b6.jpg?mw=660,7,Wrap,https://www.tasteatlas.com/wraps,Hallaca,,,,,"Often referred to as , hallaca is an elaborate dish usually served as a part of a Christmas dinner. It consists of a stew-like filling, usually made with meat, which is wrapped in corn flour dough, placed into plantain le...",https://www.tasteatlas.com/hallaca/wheretoeat,,,,,,,,,,,,,Venezuelan tamale,,,n/a
https://www.tasteatlas.com/perico-venezolano,https://cdn.tasteatlas.com//images/dishes/207be82e7cb64f25bcfeb73b93af4090.jpg?mw=660,8,Egg Dish,https://www.tasteatlas.com/egg-dishes,Perico Venezolano,4.1,,,,"Popular both in Venezuela and Colombia, perico is an egg-based dish made with scrambled eggs, onions, tomatoes, and butter. Venezuelan version is often enriched by the addition of coriander, annatto, and ground peppers, while the Colombian version...",https://www.tasteatlas.com/perico-venezolano/wheretoeat,https://www.tasteatlas.com/Eggs,https://cdn.tasteatlas.com/images/ingredientgroups/68062afe91e64f1ba087f7caf87a7fdb.png?h=120&w=120,https://www.tasteatlas.com/Onions,https://cdn.tasteatlas.com/images/ingredientgroups/bf73aa24e1b745988f43388bbdd27322.png?h=120&w=120,https://www.tasteatlas.com/Tomatoes,https://cdn.tasteatlas.com/images/ingredientgroups/72ddcc5fa8d7439d9f190499aa559132.png?h=120&w=120,https://www.tasteatlas.com/Butter,https://cdn.tasteatlas.com/images/ingredientgroups/82d84a396a544682bb2954283d8666e6.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/annatto-powder,https://cdn.tasteatlas.com/images/ingredientgroups/46c4a64b09a848c68ead6431aaa66031.png?h=120&w=120,,,,
https://www.tasteatlas.com/casabe,https://cdn.tasteatlas.com//Images/Dishes/7d9861ae4d0946a79694a7dd03d8982b.jpg?mw=660,9,Flatbread,https://www.tasteatlas.com/Flatbreads,Casabe,,Best in   (Caracas),Altamar,https://www.tasteatlas.com/altamar,"Casabe is a traditional Venezuelan thin flatbread. It is made with flour gained from cassava, an ancient plant native to northern parts of South America. No leavening agent or fat is used in the preparation, and as a result, the bread has an unusu...",https://www.tasteatlas.com/casabe/wheretoeat,,,,,,,,,,,,,,,,n/a
https://www.tasteatlas.com/golfeados,https://cdn.tasteatlas.com//images/dishes/43cb1cebd0c14be2af4bb419cd65372e.jpg?mw=660,10,Sweet Pastry,https://www.tasteatlas.com/sweet-pastry,Golfeados,4.3,Best in   (Caracas),Artesano Cafeteria,https://www.tasteatlas.com/artesano-cafeteria,"Golfeados is the Venezuelan take on famous cinnamon rolls. This cheesy, sticky pastry typically consists of milk, yeast, sugar, flour, eggs, butter, and grated cheese. It is flavored with cinnamon, vanilla, and star anise. Halfway through the baki...",https://www.tasteatlas.com/golfeados/wheretoeat,,,,,,,,,,,,,,,,
