search-results__item-image href,search-results__item-image src,similar-list__item-position,group,group href,h2,search-results__item-description,search-results__item-link href 2,mini-ingredients__link href,mini-ingredients__image src,mini-ingredients__link href 2,mini-ingredients__image src 2,mini-ingredients__link href 3,mini-ingredients__image src 3,mini-ingredients__link href 4,mini-ingredients__image src 4,mini-ingredients__link href 5,mini-ingredients__image src 5,mini-ingredients__link href 6,mini-ingredients__image src 6,item-location href,item-location,score-text--na
https://www.tasteatlas.com/pho,https://cdn.tasteatlas.com//images/dishes/fa12a95fe7ce41e89951e5d153269402.jpg?mw=660,1,Noodle Soup,https://www.tasteatlas.com/noodle-soups,Pho,"Pho is a Vietnamese noodle soup, Vietnam's national dish, street food, comfort food, and a way of life. It is also one of the most beloved Vietnamese dishes in the western hemisphere due to its complex, unique flavors, and elegant simplicity. Alth...",https://www.tasteatlas.com/pho/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/Noodles-shapes,https://cdn.tasteatlas.com/images/ingredientgroups/64cf9fef216e4d79b37daa17b903a4d2.png?h=120&w=120,https://www.tasteatlas.com/Seafoods,https://cdn.tasteatlas.com/images/ingredientgroups/d102532d0d3842a49e8c81d499ffc6b1.png?h=120&w=120,https://www.tasteatlas.com/ginger,https://cdn.tasteatlas.com/images/ingredientgroups/5ca47b7a434e4703b27e14e381f9aaf4.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,,,
https://www.tasteatlas.com/banh-mi,https://cdn.tasteatlas.com//images/dishes/35651b57246741479b4ed4b924f017ee.jpg?mw=660,2,Sandwich type,https://www.tasteatlas.com/sandwich-types,Bánh mì,"Bánh mì (pronounced 'bun mee') is a popular Vietnamese variety of sandwiches that share the same core ingredient - a baguette. The baguette was brought over to Vietnam during the colonial period, and nowadays it is one of the few hap...",https://www.tasteatlas.com/banh-mi/wheretoeat,https://www.tasteatlas.com/baguette,https://cdn.tasteatlas.com/images/dishes/5c7420c35b604d558e477833585dd37d.png?h=120&w=120,https://www.tasteatlas.com/coriander,https://cdn.tasteatlas.com/images/ingredientgroups/6070111d940042ddab6019a86951fc8b.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/Chicken,https://cdn.tasteatlas.com/images/ingredientgroups/cc2384e25f3c4d52be5abe779ef2ad9b.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/Picklings,https://cdn.tasteatlas.com/images/dishgroups/ed693cb967654e728565a8ad08057db4.png?h=120&w=120,,,
https://www.tasteatlas.com/cha-gio,https://cdn.tasteatlas.com//images/dishes/d82b09094f0d481e80243c1cc1822b48.jpg?mw=660,3,Appetizer,https://www.tasteatlas.com/Appetizers,Vietnamese Fried Spring Rolls (Chả giò),"Called in the south, and  in northern Vietnam, both names are used to refer to the same dish - fried spring rolls. The main characteristic of these tasty rolls is the pork and shrimp filling, wrapped ...",https://www.tasteatlas.com/cha-gio/wheretoeat,https://www.tasteatlas.com/shrimps,https://cdn.tasteatlas.com/images/ingredientgroups/bd6e8c1318d34f5a8021b84af6cefbaf.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/rice-paper,https://cdn.tasteatlas.com/images/dishes/376066f57b5946729ada2c8709941a81.png?h=120&w=120,https://www.tasteatlas.com/Mushrooms,https://cdn.tasteatlas.com/images/ingredientgroups/3be243024e714da6bca45d9377397805.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/Taro,https://cdn.tasteatlas.com/images/ingredientgroups/923d96d0e346444e94bf92dac49f06a9.png?h=120&w=120,https://www.tasteatlas.com/ho-chi-minh-city,Ho Chi Minh City,
https://www.tasteatlas.com/banh-xeo,https://cdn.tasteatlas.com//images/dishes/c50f70b06ace4660bf2f7580f5db1e50.jpg?mw=660,4,Pancake,https://www.tasteatlas.com/pancakes,Crispy Vietnamese Pancake (Bánh xèo),"Loosely translated as , bánh xèo is a famous Vietnamese dish that combines crunchy crêpes with a variety of savory ingredients. The distinctive Vietnamese element in these nourishing pancakes is rice f...",https://www.tasteatlas.com/banh-xeo/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/quay,https://cdn.tasteatlas.com//Images/Dishes/37dc43e90a2940c09c66539332352bbf.jpg?mw=660,5,Side Dish,https://www.tasteatlas.com/Sides,Vietnamese Crullers (Quẩy),"Vietnamese  is a deep-fried snack which was inspired by , a popular Chinese delicacy. Although very similar in preparation and shape to its more popular cousin, quẩy is regarded as a national culinary treasure in Vietn...",https://www.tasteatlas.com/quay/wheretoeat,https://www.tasteatlas.com/Flour,https://cdn.tasteatlas.com/images/ingredientgroups/6980492bc1fb48d292831ababd8816c3.png?h=120&w=120,https://www.tasteatlas.com/Salt,https://cdn.tasteatlas.com/images/ingredientgroups/812de2786a274b7e85a4c54cc0fb40d2.png?h=120&w=120,https://www.tasteatlas.com/Sugar,https://cdn.tasteatlas.com/images/ingredientgroups/ae857e2ec0504a6590b41c0000f6678c.png?h=120&w=120,https://www.tasteatlas.com/baking-powder,https://cdn.tasteatlas.com/images/ingredientgroups/f7e7555a30e44b63993b9aa893fd064c.png?h=120&w=120,https://www.tasteatlas.com/baking-soda,https://cdn.tasteatlas.com/images/ingredientgroups/eed7d6a3369340d6a1c6218e16f6cbe4.png?h=120&w=120,https://www.tasteatlas.com/oil,https://cdn.tasteatlas.com/images/ingredientgroups/de5ec455464d4e0494c0f9ec4d2b1b1d.png?h=120&w=120,,,
https://www.tasteatlas.com/mi-quang,https://cdn.tasteatlas.com//images/dishes/0bcb913f20694ac1a459e2a0b9e5357a.jpg?mw=660,6,Noodle Dish,https://www.tasteatlas.com/Noodles,Quang-Style Noodles (Mì Quảng),"This Vietnamese classic consists of a combination of flat rice noodles and yellow egg noodles that are served with a small amount of flavorful meat broth and crispy fresh vegetables and herbs such as banana blossoms, lettuce, cilantro, scallions, ...",https://www.tasteatlas.com/mi-quang/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/quang-nam-province,Quảng Nam Province,
https://www.tasteatlas.com/bo-kho,https://cdn.tasteatlas.com//images/dishes/c3b400178b494c3e8f0a6640e274bdee.jpg?mw=660,7,Stew,https://www.tasteatlas.com/Stews,Vietnamese Beef Stew (Bò kho),"Bò kho is a popular Vietnamese beef stew that can be consumed on its own or accompanied by a baguette on the side. It can also be served over noodles, and it is customary to serve a variety fresh herbs on the side. The dish includes ingredi...",https://www.tasteatlas.com/bo-kho/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Carrots,https://cdn.tasteatlas.com/images/ingredientgroups/c497c7c9cd1447ebabf0565c1ef4387e.png?h=120&w=120,https://www.tasteatlas.com/lemongrass,https://cdn.tasteatlas.com/images/ingredientgroups/af3b6147b513480cb4545ac1e19d36d0.png?h=120&w=120,https://www.tasteatlas.com/cinnamon,https://cdn.tasteatlas.com/images/ingredientgroups/bf4bc7a768a044549fcdcdadcb09f80b.png?h=120&w=120,https://www.tasteatlas.com/Hot-peppers,https://cdn.tasteatlas.com/images/ingredientgroups/e02c316cda454fff9c282a56a480b458.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,,,
https://www.tasteatlas.com/bun-bo-hue,https://cdn.tasteatlas.com//images/dishes/f14abc2e4cab42fd81d0b5a61bdb9060.jpg?mw=660,8,Noodle Soup,https://www.tasteatlas.com/noodle-soups,Hue Breakfast Noodle Soup (Bún bò Huế),"Bún bò Huế is a staple Vietnamese soup that is traditionally consumed for breakfast, consisting of pork and beef bones broth,  noodles, lemongrass, shrimp paste, lime juice, and a variety of herbs. The soup is much spicie...",https://www.tasteatlas.com/bun-bo-hue/wheretoeat,https://www.tasteatlas.com/Beef,https://cdn.tasteatlas.com/images/ingredientgroups/3db7b6f60a934bc89f41a0c51acd08ac.png?h=120&w=120,https://www.tasteatlas.com/Pork,https://cdn.tasteatlas.com/images/ingredientgroups/905dbdf1da5f4687bd091624f5e3180d.png?h=120&w=120,https://www.tasteatlas.com/Noodles-shapes,https://cdn.tasteatlas.com/images/ingredientgroups/64cf9fef216e4d79b37daa17b903a4d2.png?h=120&w=120,https://www.tasteatlas.com/lemongrass,https://cdn.tasteatlas.com/images/ingredientgroups/af3b6147b513480cb4545ac1e19d36d0.png?h=120&w=120,https://www.tasteatlas.com/shallots,https://cdn.tasteatlas.com/images/ingredientgroups/b754048f184446f79a4136e478886073.png?h=120&w=120,https://www.tasteatlas.com/garlic,https://cdn.tasteatlas.com/images/ingredientgroups/5863714d901146c094f8228eb52c1fcb.png?h=120&w=120,https://www.tasteatlas.com/hue,Huế,
https://www.tasteatlas.com/che,https://cdn.tasteatlas.com//Images/Dishes/2a6a9c9525a64d0684dc6f0a32b15515.jpg?mw=660,9,Dessert,https://www.tasteatlas.com/Desserts,Chè,"Vietnamese  dishes include any traditional sweet soup, beverage, pudding, or any other custard-like dessert that is made with a base of either water or coconut cream and served either hot or cold. Other ingredients for making ch...",https://www.tasteatlas.com/che/wheretoeat,,,,,,,,,,,,,,,
https://www.tasteatlas.com/banh-beo,https://cdn.tasteatlas.com//Images/Dishes/c79077996b3442008293ae4fb2ea77bf.jpg?mw=660,10,Rice Dish,https://www.tasteatlas.com/Rice-dishes,Vietnamese Steamed Savory Rice Cake (Bánh bèo),"Bánh bèo is a popular Vietnamese steamed cake consisting of key ingredients such as rice flour, fish sauce with green chili peppers, and either shrimps or pork. Additionally, noodles, roasted peanuts, or fried onions can be added to ...",https://www.tasteatlas.com/banh-beo/wheretoeat,,,,,,,,,,,,,https://www.tasteatlas.com/hue,Huế,
